group,identifier,border_centre_ratio,attention_entropy
ava_test,460789,0.9852209687232971,0.862014349653407
ava_test,743467,0.20191964507102966,0.9263728425621983
ava_test,814241,0.6056334972381592,0.8831304129258989
ava_test,661248,0.224054217338562,0.9186985327048733
ava_test,762354,0.10082784295082092,0.922790829363139
ava_test,955525,0.6546106934547424,0.9054448006909354
ava_test,585347,0.45783352851867676,0.9263835041021897
ava_test,348464,0.618131697177887,0.8833803198826375
ava_test,398401,0.0683063194155693,0.8977549707200231
ava_test,850100,0.08880589157342911,0.8947623037072775
ava_test,800945,0.6204835772514343,0.9444187548226446
ava_test,121111,0.8570540547370911,0.8790128231681794
ava_test,61717,0.4364859461784363,0.920128946812507
ava_test,41981,0.4150257110595703,0.9137239481584178
ava_test,434260,0.6110822558403015,0.9350211315624587
ava_test,301541,1.121990442276001,0.8716315759867179
ava_test,906642,0.6705764532089233,0.8839247827412917
ava_test,950134,0.7790696024894714,0.8852704896383548
ava_test,336726,0.45661211013793945,0.9024748462603336
ava_test,255529,0.04944496601819992,0.8778825826652161
ava_test,291425,0.36980143189430237,0.8756431748182875
ava_test,202939,0.6271645426750183,0.8907572535048532
ava_test,831441,0.414699524641037,0.9131569816730204
ava_test,439589,0.08098401129245758,0.8605726987801995
ava_test,441499,0.0862676203250885,0.8941805118819649
ava_test,215124,0.2302366942167282,0.9080603690375916
ava_test,429277,0.11151633411645889,0.9138852709987877
ava_test,301243,0.597273051738739,0.9193933020080962
ava_test,72627,0.16106441617012024,0.9029381452074842
ava_test,816095,0.02677515149116516,0.9004954068896099
ava_test,425531,0.5255764126777649,0.889510211411834
ava_test,200263,0.14666412770748138,0.9193084142944314
ava_test,729238,0.16160880029201508,0.924359171201518
ava_test,59423,0.365151971578598,0.91513819465105
ava_test,134627,0.19747474789619446,0.9195887216838788
ava_test,764588,1.0937392711639404,0.8835412243931585
ava_test,360819,0.09985772520303726,0.9097805562142177
ava_test,640812,0.47435906529426575,0.9316322119601115
ava_test,957086,1.2414004802703857,0.86634566400927
ava_test,90302,0.8036373257637024,0.8751394106580157
ava_test,338649,1.0040323734283447,0.8913326589234971
ava_test,356576,0.1365572214126587,0.9187888533641825
ava_test,141890,0.0,0.0
ava_test,311961,0.49231767654418945,0.8995550703156889
ava_test,509497,1.4369310140609741,0.8793800968228382
ava_test,89273,0.9301403164863586,0.8907010412780053
ava_test,265358,0.6997094750404358,0.9049359252522826
ava_test,284080,0.22136107087135315,0.9140287102824142
ava_test,887542,0.6695268750190735,0.8865262351274242
ava_test,808444,0.055836327373981476,0.9015099065869596
ava_test,104157,0.5437487363815308,0.9227152994758703
ava_test,737990,0.17822007834911346,0.9131767812621434
ava_test,174643,0.21221233904361725,0.9106284183950737
ava_test,684485,0.4202801585197449,0.8909496005165305
ava_test,642733,2.0288493633270264,0.915144743139699
ava_test,12854,0.04509732872247696,0.908383139939099
ava_test,890635,0.40677785873413086,0.8935404012281397
ava_test,6420,0.4968275725841522,0.9255558959530006
ava_test,3455,0.38124167919158936,0.9227227038205492
ava_test,880496,0.4482008218765259,0.9100722003708251
ava_test,837393,0.7753653526306152,0.9243741475458919
ava_test,917485,0.22338594496250153,0.9219098246863787
ava_test,55768,0.47973769903182983,0.9257765411489656
ava_test,471725,0.02776985988020897,0.8957273200828709
ava_test,196426,0.24698491394519806,0.9236945294978874
ava_test,851111,0.027720823884010315,0.897598461174907
ava_test,344678,0.0632447600364685,0.9071279273873875
ava_test,409794,0.8387633562088013,0.9074896250919655
ava_test,808493,0.20153643190860748,0.9334709745868219
ava_test,135639,0.18960946798324585,0.901059221084055
ava_test,909081,0.4944922626018524,0.9111357244245125
ava_test,220146,0.27422046661376953,0.9212837055025942
ava_test,874875,2.0418553352355957,0.8873205149434275
ava_test,343210,0.6718713641166687,0.8778979622023062
ava_test,85956,0.33456283807754517,0.903585627245097
ava_test,799263,0.08313797414302826,0.9099783982737751
ava_test,164730,0.03059043176472187,0.8958217716059882
ava_test,617233,0.28727591037750244,0.9296899060280476
ava_test,486578,0.35003945231437683,0.9412920340430585
ava_test,31240,0.7322204113006592,0.8752248818386085
ava_test,710101,0.05990961194038391,0.8968919159608404
ava_test,319600,0.0778663381934166,0.9294317164396576
ava_test,662800,0.7229318618774414,0.8933350758832849
ava_test,222748,0.4611445665359497,0.8985951461602614
ava_test,303344,0.039185695350170135,0.9099635979639467
ava_test,682047,0.20038999617099762,0.9268690390209217
ava_test,836163,0.33639875054359436,0.8871339017326911
ava_test,111317,0.7033606767654419,0.8869594988910187
ava_test,214824,1.0816954374313354,0.924910195742166
ava_test,136381,0.26968899369239807,0.8958788401564475
ava_test,684061,0.6280636191368103,0.8659211256003353
ava_test,729016,0.5725317001342773,0.8541539346317514
ava_test,22781,0.17741045355796814,0.9297111188598723
ava_test,734717,0.4336515963077545,0.8764759075661872
